Smiles,Standard Relation,Standard Units,Standard Value
CC1(C)OC(=O)C(OC2CCCCC2)=C1c1ccc(S(C)(=O)=O)cc1,'=',nM,40.0
CCc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,'=',nM,1700.0
CCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,'=',nM,50.0
CC(C)CCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,'=',nM,4500.0
COc1ccc2c(c1)c(CC(=O)NCCOC(=O)/C=C/c1ccc(N(C)C)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',nM,190.0
COc1ccc2c(c1)c(CC(=O)Nc1ncc(C)s1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',nM,4000.0
CC[C@@]1(C)OC(=O)C(OC(C)C)=C1c1ccc(S(C)(=O)=O)cc1,'=',nM,500.0
COc1cc(OC)cc(OCc2cc(-c3ccccc3)n(-c3ccc(S(C)(=O)=O)cc3)n2)c1,'=',nM,870.0
Cc1cc(=O)c(Oc2ccccc2C)c(-c2ccc(S(C)(=O)=O)cc2)o1,'=',nM,170.02
CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CCC2)cc1,'=',nM,10.0
CCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,'=',nM,100.0
c1ccc(-c2nn(-c3ccccc3)cc2-c2nnc(-c3ccncc3)o2)cc1,'=',nM,11100.0
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,'=',nM,700.0
COc1ccc2c(c1)CCC(c1ccc(OC)c(OC)c1)=C2,'=',nM,30.0
CCOC(=O)c1c(C)oc2ccc(Oc3ccccc3C)cc12,'=',nM,6100.0
CCOC(=O)c1c(-c2ccccc2)oc2ccc(Oc3ccccc3)cc12,'=',nM,18200.0
Cc1ccc(-c2nn(-c3ccccc3)cc2C2N[C@H](C(N)=O)CS2)cc1,'=',nM,380.0
CC1(C)CC(c2ccc(F)cc2)=C(c2ccc(S(C)(=O)=O)cc2)C1,'=',nM,15.14
COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1Cl,'=',nM,8.913
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,'=',nM,3400.0
COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1,'=',nM,1.995
Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,'=',nM,3.981
NS(=O)(=O)c1ccc(-n2ncc(Cl)c2-c2ccccc2)cc1,'=',nM,48.98
NS(=O)(=O)c1ccc(-n2nc(CF)cc2-c2ccccc2)cc1,'=',nM,199.53
COc1c(C)cc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,'=',nM,66.07
Cc1cccnc1-c1nc(C(F)(F)F)cn1-c1ccc(S(N)(=O)=O)cc1,'=',nM,1584.89
CCCCSc1ccccc1OC(C)=O,'=',nM,34000.0
COc1ccc(C(=O)c2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,'=',nM,1090.0
CSc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,'=',nM,9.0
NS(=O)(=O)c1ccc(-c2coc(=O)n2-c2ccccc2F)cc1,'=',nM,2197.86
COc1ccc(-n2nc(COc3cc(F)cc(C4(OC)CCOCC4)c3)cc2-c2ccccc2)cc1,'=',nM,300.0
COC1(c2cc(F)cc(OCc3cc(-c4ccccc4)n(-c4ccc(C)cc4)n3)c2)CCOCC1,'=',nM,930.0
O=C1O[C@H](c2ccc(O)c(O)c2)[C@H]2CO[C@H](c3ccc(O)c(O)c3)[C@@H]12,'=',nM,90200.0
Clc1ccc(COc2nc3ccccc3s2)cc1,'=',nM,770.0
Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Cc1ccc(F)cc1F,'=',nM,8400.0
NS(=O)(=O)c1ccc(-c2coc(=O)n2-c2ccc(F)cc2)cc1,'=',nM,1499.68
CC(C)(C)c1cc(/C=C2\OC(N=C(N)N)=NC2=O)cc(C(C)(C)C)c1O,'=',nM,5100.0
CC1(C)CC(c2ccc(Cl)cc2)=C(c2ccc(S(C)(=O)=O)cc2)C1,'=',nM,7.0
CC(=O)N1N=C(c2ccc(S(C)(=O)=O)cc2)CC1c1ccccc1OCc1ccccc1,'=',nM,3200.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,'=',nM,60.0
Cc1cccc(-n2c(-c3ccc(S(N)(=O)=O)cc3)coc2=O)c1,'=',nM,510.5
COC1(C)OC(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,'=',nM,100.0
C[S+]([O-])c1ccc(C(Nc2cccnc2)C(=O)c2ccc(F)cc2)cc1,'=',nM,500.0
CS(=O)(=O)c1ccc(-c2[nH]c(I)cc2-c2ccc(F)cc2)cc1,'=',nM,92300.0
COc1ccc2c(c1)c(CC(=O)Nc1cccnc1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',nM,52.0
CC(=O)OCO/N=[N+](/[O-])N1CCC[C@@H]1C(=O)OCc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)COC2=O)cc1,'=',nM,2400.0
Cc1ccc(-c2cc(C(C)C(=O)[O-])ccc2CC2CCCC2=O)cc1.[Na+],'=',nM,420000.0
COc1ccc(-c2cc(CC3CCCC3=O)ccc2C(C)C(=O)[O-])cc1.[Na+],'=',nM,430000.0
COc1ccc2c(c1)c(CC(=O)Nc1ccc(NC(C)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',nM,120.0
Cc1c(C(N)C(=O)NCCO[N+](=O)[O-])cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1cccc(F)c1,'=',nM,21000.0
CCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,'=',nM,6000.0
CN1C(O)=C(C(=O)Nc2ccc(Br)cc2Br)c2cc(Cl)ccc2S1(=O)=O,'=',nM,7.0
COc1ccc2c(c1)c(CC(=O)N[C@@H](CO)Cc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,'=',nM,220.0
COc1ccc2c(-c3ccc(S(N)(=O)=O)cc3)c(-c3ccc(F)cc3)nn2n1,'=',nM,26.0
CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)nn3nc(S(C)(=O)=O)ccc23)cc1,'=',nM,370.0
COc1ccc(Sc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,'=',nM,470.0
COC(=O)c1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccc(F)cc1,'=',nM,1100.0
Cc1cc(=O)c(Oc2ccc(Cl)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,'=',nM,320.04
CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,'=',nM,310.0
CC(C(=O)O)c1cccn(C(F)F)c1=O,'=',nM,5900.0
CC1(C)OC(=O)C(Oc2cnccn2)=C1c1ccc(S(C)(=O)=O)cc1,'=',nM,3800.0
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2csc3ccccc23)cc1,'=',nM,350.0
CS(=O)(=O)c1ccc(-c2cnn(CCC3CC3)c(=O)c2-c2ccc(F)cc2)cc1,'=',nM,2900.0
COc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,'=',nM,37600.0
CC(O)CN1c2ccccc2Sc2ccccc21,'=',nM,5000.0
O=C(O)[C@H]1C[C@](O)(c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)O1,'=',nM,3800.0
CC1(C)OC(=O)C(Oc2ccc(C3CC3)cn2)=C1c1ccc(S(C)(=O)=O)cc1,'=',nM,30.0
Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)cc2)o1,'=',nM,70.0
